url,lat,lon
https://api.exelishelios.com/v1/cameras/TL-405956/live	,	51.45606	,	-1.085971
https://api.exelishelios.com/v1/cameras/TL-405963/live	,	51.452432	,	-1.30959
https://api.exelishelios.com/v1/cameras/TL-405951/live	,	51.422854	,	-1.030125
https://api.exelishelios.com/v1/cameras/TL-405968/live	,	51.447309	,	-1.427875
https://api.exelishelios.com/v1/cameras/TL-405952/live	,	51.434181	,	-1.053757
https://api.exelishelios.com/v1/cameras/TL-405969/live	,	51.448154	,	-1.460834
https://api.exelishelios.com/v1/cameras/TL-405964/live	,	51.453052	,	-1.310686
https://api.exelishelios.com/v1/cameras/TL-405957/live	,	51.460101	,	-1.104682
https://api.exelishelios.com/v1/cameras/TL-405960/live	,	51.458308	,	-1.195687
https://api.exelishelios.com/v1/cameras/TL-405965/live	,	51.453018	,	-1.325537
https://api.exelishelios.com/v1/cameras/TL-405958/live	,	51.460947	,	-1.149023
https://api.exelishelios.com/v1/cameras/TL-405580/live	,	51.466611	,	-1.511694
https://api.exelishelios.com/v1/cameras/TL-405962/live	,	51.463355	,	-1.254536
https://api.exelishelios.com/v1/cameras/TL-405967/live	,	51.450363	,	-1.409879
https://api.exelishelios.com/v1/cameras/TL-405950/live	,	51.420691	,	-1.004866
https://api.exelishelios.com/v1/cameras/TL-405955/live	,	51.448409	,	-1.075281
https://api.exelishelios.com/v1/cameras/TL-405974/live	,	51.454443	,	-1.486842
https://api.exelishelios.com/v1/cameras/TL-405954/live	,	51.438386	,	-1.065219
https://api.exelishelios.com/v1/cameras/TL-405959/live	,	51.460706	,	-1.171871
https://api.exelishelios.com/v1/cameras/TL-405579/live	,	51.463446	,	-1.506118
https://api.exelishelios.com/v1/cameras/TL-405966/live	,	51.456497	,	-1.36349
https://api.exelishelios.com/v1/cameras/TL-405581/live	,	51.485134	,	-1.564717
https://api.exelishelios.com/v1/cameras/TL-405961/live	,	51.462899	,	-1.237584
https://api.exelishelios.com/v1/cameras/TL-405973/live	,	51.452033	,	-1.479715
https://api.exelishelios.com/v1/cameras/TL-405992/live	,	52.015514	,	-0.561558
https://api.exelishelios.com/v1/cameras/TL-405942/live	,	51.940828	,	-0.497944
https://api.exelishelios.com/v1/cameras/TL-405994/live	,	52.021182	,	-0.581001
https://api.exelishelios.com/v1/cameras/TL-405949/live	,	51.974004	,	-0.525942
https://api.exelishelios.com/v1/cameras/TL-405937/live	,	51.92315	,	-0.492299
https://api.exelishelios.com/v1/cameras/TL-405924/live	,	51.845856	,	-0.421859
https://api.exelishelios.com/v1/cameras/TL-405993/live	,	52.01951	,	-0.574422
https://api.exelishelios.com/v1/cameras/TL-405986/live	,	51.9792	,	-0.526165
https://api.exelishelios.com/v1/cameras/TL-405936/live	,	51.919499	,	-0.489398
https://api.exelishelios.com/v1/cameras/TL-405988/live	,	51.990594	,	-0.534926
https://api.exelishelios.com/v1/cameras/TL-405995/live	,	52.023945	,	-0.592148
https://api.exelishelios.com/v1/cameras/TL-405990/live	,	52.006719	,	-0.548096
https://api.exelishelios.com/v1/cameras/TL-405940/live	,	51.93912	,	-0.497966
https://api.exelishelios.com/v1/cameras/TL-405991/live	,	52.011648	,	-0.554384
https://api.exelishelios.com/v1/cameras/TL-405953/live	,	52.025101	,	-0.596733
https://api.exelishelios.com/v1/cameras/TL-405939/live	,	51.930618	,	-0.496886
https://api.exelishelios.com/v1/cameras/TL-405989/live	,	51.999955	,	-0.542823
https://api.exelishelios.com/v1/cameras/TL-406232/live	,	51.56319	,	-0.53699
https://api.exelishelios.com/v1/cameras/TL-406237/live	,	51.591382	,	-0.616122
https://api.exelishelios.com/v1/cameras/TL-406257/live	,	51.791113	,	-1.085331
https://api.exelishelios.com/v1/cameras/TL-406245/live	,	51.61235	,	-0.769633
